question_id,construction_name,construction_formula,level,category,function,n_selecting,n_annotators,endorsement_rate
1,AdjectiveAndAdjective,ADJ and ADJ,A1,ADJECTIVES,Describing,4,4,1.0
1,AdjectiveAndAdjective,ADJ and ADJ,A1,ADJECTIVES,Providing detail,1,4,0.25
1,AdjectiveAndAdjective,ADJ and ADJ,A1,ADJECTIVES,Expressing manner,1,4,0.25
1,AdjectiveAndAdjective,ADJ and ADJ,A1,ADJECTIVES,"Other: Adding emphasis in e.g. ""fare and square"", ""safe and sound"".",1,4,0.25
1,AdjectiveAndAdjective,ADJ and ADJ,A1,ADJECTIVES,Expressing evaluation,1,4,0.25
2,AffirmativeDeclarativeClause,SUBJ V (… ),A1,CLAUSES,Making statements,4,4,1.0
2,AffirmativeDeclarativeClause,SUBJ V (… ),A1,CLAUSES,Pointing to entities,1,4,0.25
2,AffirmativeDeclarativeClause,SUBJ V (… ),A1,CLAUSES,Other: Expressing opinions,1,4,0.25
2,AffirmativeDeclarativeClause,SUBJ V (… ),A1,CLAUSES,Specifying information,1,4,0.25
2,AffirmativeDeclarativeClause,SUBJ V (… ),A1,CLAUSES,Conveying meaning & exchanging information,1,4,0.25
3,AffirmativeDeclarativeClauseWithModal,SUBJ V.MODAL VP,A1,CLAUSES,Making statements,3,4,0.75
3,AffirmativeDeclarativeClauseWithModal,SUBJ V.MODAL VP,A1,CLAUSES,Expressing wishes,2,4,0.5
3,AffirmativeDeclarativeClauseWithModal,SUBJ V.MODAL VP,A1,CLAUSES,Giving advice,2,4,0.5
3,AffirmativeDeclarativeClauseWithModal,SUBJ V.MODAL VP,A1,CLAUSES,Other: Expressing possibilities,1,4,0.25
3,AffirmativeDeclarativeClauseWithModal,SUBJ V.MODAL VP,A1,CLAUSES,Conveying meaning & exchanging information,1,4,0.25
4,AffirmativeInterrogativeClauseWithBe,(wh) BE SUBJ (…),A1,CLAUSES,Asking for information,4,4,1.0
4,AffirmativeInterrogativeClauseWithBe,(wh) BE SUBJ (…),A1,CLAUSES,Other: Asking for confirmation,1,4,0.25
4,AffirmativeInterrogativeClauseWithBe,(wh) BE SUBJ (…),A1,CLAUSES,"Other: Asking for an explanation? (with ""why""), asking for clarification/confirmation, permission (""is it ok...?""), expressing reaction or surprise (""are you crazy?"")",1,4,0.25
5,ArticleAPlusVeryAdjective,a very ADJ N,A1,DETERMINERS,Describing,4,4,1.0
5,ArticleAPlusVeryAdjective,a very ADJ N,A1,DETERMINERS,Referring to entities,1,4,0.25
6,ArticleAWithAdjectiveAndNoun,a ADJ N,A1,DETERMINERS,Describing,4,4,1.0
6,ArticleAWithAdjectiveAndNoun,a ADJ N,A1,DETERMINERS,Referring to entities,3,4,0.75
6,ArticleAWithAdjectiveAndNoun,a ADJ N,A1,DETERMINERS,Referring to past events with present relevance,1,4,0.25
6,ArticleAWithAdjectiveAndNoun,a ADJ N,A1,DETERMINERS,Referring to present states events and facts,1,4,0.25
6,ArticleAWithAdjectiveAndNoun,a ADJ N,A1,DETERMINERS,Referring to self,1,4,0.25
7,AttributiveAdjective,ADJ N,A1,ADJECTIVES,Describing,4,4,1.0
7,AttributiveAdjective,ADJ N,A1,ADJECTIVES,Giving advice,1,4,0.25
8,AuxiliaryVerbBe,AUX BE V-ing/V-PastP,A1,VERBS,Expressing progression,3,4,0.75
8,AuxiliaryVerbBe,AUX BE V-ing/V-PastP,A1,VERBS,"Referring to actions, events or states",2,4,0.5
8,AuxiliaryVerbBe,AUX BE V-ing/V-PastP,A1,VERBS,Other: Expressing intent,1,4,0.25
8,AuxiliaryVerbBe,AUX BE V-ing/V-PastP,A1,VERBS,Making suggestions,1,4,0.25
8,AuxiliaryVerbBe,AUX BE V-ing/V-PastP,A1,VERBS,Other: Talking about plans and arrangements,1,4,0.25
9,BecauseSubclause,because CLAUSE.SUBORD,A1,CONJUNCTIONS,Framing or linking information,4,4,1.0
9,BecauseSubclause,because CLAUSE.SUBORD,A1,CONJUNCTIONS,Expressing cause,4,4,1.0
9,BecauseSubclause,because CLAUSE.SUBORD,A1,CONJUNCTIONS,Other: Making excuses,1,4,0.25
10,ClauseAndClauseWithElliptedSubject,CLAUSE and (ØSUBJ) CLAUSE,A1,CLAUSES,Specifying information,2,4,0.5
10,ClauseAndClauseWithElliptedSubject,CLAUSE and (ØSUBJ) CLAUSE,A1,CLAUSES,Framing or linking information,2,4,0.5
10,ClauseAndClauseWithElliptedSubject,CLAUSE and (ØSUBJ) CLAUSE,A1,CLAUSES,Other: Sequencing events,1,4,0.25
10,ClauseAndClauseWithElliptedSubject,CLAUSE and (ØSUBJ) CLAUSE,A1,CLAUSES,Other: Avoiding repetition,1,4,0.25
11,CommonNoun,N.COMMON,A1,NOUNS,Referring to entities,4,4,1.0
11,CommonNoun,N.COMMON,A1,NOUNS,Describing,3,4,0.75
11,CommonNoun,N.COMMON,A1,NOUNS,Conveying meaning,2,4,0.5
11,CommonNoun,N.COMMON,A1,NOUNS,Making statements,2,4,0.5
11,CommonNoun,N.COMMON,A1,NOUNS,Emphasizing the affected entity,1,4,0.25
12,CompoundNoun,N-N,A1,NOUNS,Referring to entities,4,4,1.0
12,CompoundNoun,N-N,A1,NOUNS,Describing,3,4,0.75
12,CompoundNoun,N-N,A1,NOUNS,Making statements,1,4,0.25
12,CompoundNoun,N-N,A1,NOUNS,Expressing obligation or necessity,1,4,0.25
12,CompoundNoun,N-N,A1,NOUNS,Other: combining 2 words to act as a single unit,1,4,0.25
13,DegreeAdverb,ADV.DEGREE ADJ,A1,ADVERBS,Expressing degree,4,4,1.0
13,DegreeAdverb,ADV.DEGREE ADJ,A1,ADVERBS,Describing,4,4,1.0
14,DegreeOrTimeAdverb,ADV.DEGREE/ADV.TIME,A1,ADVERBS,Expressing degree,4,4,1.0
14,DegreeOrTimeAdverb,ADV.DEGREE/ADV.TIME,A1,ADVERBS,Providing detail,3,4,0.75
14,DegreeOrTimeAdverb,ADV.DEGREE/ADV.TIME,A1,ADVERBS,Reporting information,1,4,0.25
14,DegreeOrTimeAdverb,ADV.DEGREE/ADV.TIME,A1,ADVERBS,Requesting,1,4,0.25
14,DegreeOrTimeAdverb,ADV.DEGREE/ADV.TIME,A1,ADVERBS,Sequencing events,1,4,0.25
14,DegreeOrTimeAdverb,ADV.DEGREE/ADV.TIME,A1,ADVERBS,"Other: Expressing frequency, providing time of events (for time adverbials)",1,4,0.25
15,DemonstrativeThisPlusSingularNoun,this N.SG,A1,DETERMINERS,Pointing to entities,4,4,1.0
15,DemonstrativeThisPlusSingularNoun,this N.SG,A1,DETERMINERS,Referring to entities,3,4,0.75
15,DemonstrativeThisPlusSingularNoun,this N.SG,A1,DETERMINERS,Asking for information,1,4,0.25
15,DemonstrativeThisPlusSingularNoun,this N.SG,A1,DETERMINERS,Comparing,1,4,0.25
15,DemonstrativeThisPlusSingularNoun,this N.SG,A1,DETERMINERS,Comparing within a set,1,4,0.25
16,DeterminerWithNoun,DET N,A1,NOUNS,Referring to entities,4,4,1.0
16,DeterminerWithNoun,DET N,A1,NOUNS,Other: pointing to entities (if DET is a demonstrative),1,4,0.25
17,MiddleFrequencyAdverb,SUBJ ADV.FREQ V,A1,ADVERBS,Expressing frequency,4,4,1.0
17,MiddleFrequencyAdverb,SUBJ ADV.FREQ V,A1,ADVERBS,Making statements,4,4,1.0
17,MiddleFrequencyAdverb,SUBJ ADV.FREQ V,A1,ADVERBS,Describing,2,4,0.5
17,MiddleFrequencyAdverb,SUBJ ADV.FREQ V,A1,ADVERBS,Other: Describing an action,1,4,0.25
17,MiddleFrequencyAdverb,SUBJ ADV.FREQ V,A1,ADVERBS,stating habits,1,4,0.25
18,FrontAdverb,ADV CLAUSE,A1,ADVERBS,Expressing certainty,3,4,0.75
18,FrontAdverb,ADV CLAUSE,A1,ADVERBS,Other: Expressing frequency,2,4,0.5
18,FrontAdverb,ADV CLAUSE,A1,ADVERBS,Other: expressing XX (depending on adverb),1,4,0.25
18,FrontAdverb,ADV CLAUSE,A1,ADVERBS,Other: Indicating frequency,1,4,0.25
19,FutureWillAffirmative,SUBJ will V,A1,FUTURE,Referring to future actions and events,4,4,1.0
19,FutureWillAffirmative,SUBJ will V,A1,FUTURE,"Other: Making offers, promises, or predictions",1,4,0.25
19,FutureWillAffirmative,SUBJ will V,A1,FUTURE,"Other: Promises, predictions",1,4,0.25
20,IndefinitePronounWithEverythingAsSubject,everything V,A1,PRONOUNS,Referring to entities,2,4,0.5
20,IndefinitePronounWithEverythingAsSubject,everything V,A1,PRONOUNS,Other: Referring to a state (of being),1,4,0.25
20,IndefinitePronounWithEverythingAsSubject,everything V,A1,PRONOUNS,Expressing hypotheses or inferences,1,4,0.25
20,IndefinitePronounWithEverythingAsSubject,everything V,A1,PRONOUNS,Expressing negation,1,4,0.25
