start_id,start_vertex_type,end_id,end_vertex_type
6,form,11,form
6,form,12,form
6,form,13,form
6,form,15,form
6,form,16,form
6,form,142,form
6,form,143,form
6,form,144,form
6,form,145,form
9,form,8,form
11,form,7,form
11,form,14,form
11,form,130,form
17,form,7,form
17,form,8,form
17,form,9,form
17,form,10,form
17,form,19,form
17,form,141,form
17,form,146,form
18,form,8,form
19,form,20,form
19,form,21,form
19,form,22,form
19,form,23,form
19,form,24,form
19,form,25,form
19,form,26,form
19,form,27,form
19,form,147,form
19,form,148,form
19,form,149,form
19,form,150,form
19,form,151,form
19,form,152,form
19,form,153,form
19,form,154,form
19,form,155,form
19,form,156,form
19,form,157,form
19,form,158,form
19,form,159,form
19,form,160,form
19,form,161,form
19,form,162,form
19,form,163,form
19,form,164,form
19,form,165,form
19,form,166,form
19,form,167,form
19,form,168,form
19,form,169,form
21,form,21,form
28,form,29,form
28,form,30,form
28,form,31,form
28,form,32,form
28,form,33,form
28,form,170,form
31,form,32,form
34,form,35,form
34,form,36,form
34,form,37,form
34,form,38,form
34,form,40,form
34,form,40,form
34,form,41,form
34,form,42,form
34,form,43,form
34,form,171,form
34,form,172,form
34,form,173,form
34,form,174,form
34,form,175,form
34,form,176,form
34,form,177,form
34,form,178,form
34,form,179,form
34,form,180,form
34,form,207,form
34,form,181,form
34,form,183,form
34,form,184,form
35,form,40,form
57,form,58,form
57,form,59,form
57,form,60,form
57,form,61,form
57,form,211,form
57,form,212,form
57,form,213,form
57,form,214,form
57,form,215,form
57,form,216,form
59,form,3,form
62,form,63,form
62,form,64,form
62,form,65,form
62,form,67,form
62,form,68,form
62,form,69,form
62,form,70,form
62,form,71,form
62,form,72,form
62,form,217,form
62,form,218,form
62,form,219,form
62,form,220,form
62,form,221,form
62,form,222,form
62,form,223,form
62,form,224,form
62,form,225,form
67,form,218,form
67,form,219,form
67,form,220,form
67,form,221,form
73,form,74,form
73,form,75,form
73,form,76,form
76,form,74,form
77,form,78,form
77,form,79,form
77,form,242,form
77,form,243,form
77,form,244,form
77,form,245,form
77,form,246,form
81,form,81,form
85,form,86,form
85,form,87,form
85,form,88,form
85,form,89,form
85,form,90,form
85,form,91,form
85,form,92,form
85,form,93,form
85,form,94,form
85,form,97,form
85,form,96,form
85,form,252,form
85,form,253,form
85,form,254,form
85,form,255,form
85,form,256,form
85,form,257,form
85,form,258,form
85,form,259,form
85,form,260,form
85,form,261,form
85,form,262,form
85,form,263,form
85,form,264,form
85,form,265,form
85,form,266,form
85,form,267,form
85,form,268,form
85,form,269,form
85,form,270,form
85,form,271,form
98,form,100,form
98,form,103,form
98,form,104,form
98,form,113,form
98,form,289,form
98,form,290,form
98,form,105,form
98,form,291,form
100,form,101,form
100,form,102,form
106,form,107,form
106,form,109,form
106,form,110,form
106,form,284,form
106,form,285,form
106,form,286,form
106,form,287,form
106,form,288,form
118,form,119,form
118,form,126,form
118,form,127,form
119,form,120,form
119,form,121,form
119,form,124,form
119,form,125,form
122,form,118,form
123,form,118,form
133,form,134,form
133,form,135,form
133,form,136,form
133,form,138,form
133,form,136,form
142,form,14,form
146,form,18,form
152,form,282,form
152,form,283,form
152,form,272,form
153,form,272,form
154,form,272,form
155,form,246,form
155,form,274,form
155,form,275,form
155,form,276,form
155,form,277,form
155,form,278,form
157,form,303,form
157,form,304,form
157,form,306,form
160,form,162,form
160,form,164,form
160,form,167,form
161,form,163,form
161,form,165,form
161,form,166,form
161,form,168,form
161,form,169,form
174,form,218,form
174,form,219,form
174,form,220,form
174,form,221,form
175,form,218,form
175,form,219,form
175,form,220,form
175,form,221,form
178,form,218,form
178,form,219,form
178,form,220,form
178,form,221,form
179,form,218,form
179,form,219,form
179,form,220,form
179,form,221,form
179,form,222,form
179,form,307,form
179,form,308,form
181,form,303,form
181,form,304,form
182,form,303,form
182,form,304,form
183,form,218,form
183,form,219,form
183,form,220,form
183,form,221,form
184,form,177,form
212,form,211,form
214,form,160,form
215,form,161,form
226,form,227,form
226,form,228,form
231,form,75,form
231,form,76,form
239,form,240,form
239,form,241,form
246,form,274,form
246,form,275,form
246,form,276,form
246,form,277,form
246,form,278,form
250,form,274,form
250,form,275,form
250,form,279,form
250,form,281,form
268,form,23,form
268,form,24,form
268,form,148,form
268,form,149,form
273,form,152,form
273,form,153,form
273,form,157,form
275,form,250,form
275,form,233,form
278,form,201,form
278,form,204,form
278,form,206,form
278,form,311,form
280,form,201,form
280,form,204,form
280,form,206,form
280,form,209,form
280,form,311,form
281,form,250,form
281,form,233,form
300,form,301,form
300,form,302,form
301,form,284,form
301,form,285,form
301,form,286,form
302,form,284,form
302,form,285,form
302,form,286,form
306,form,198,form
306,form,199,form
306,form,198,form
306,form,203,form
306,form,205,form
306,form,208,form
306,form,310,form
312,form,81,form
312,form,82,form
312,form,83,form
312,form,84,form
312,form,191,form
313,form,73,form
313,form,74,form
313,form,75,form
313,form,76,form
313,form,231,form
313,form,232,form
313,form,233,form
313,form,234,form
314,form,235,form
314,form,236,form
314,form,237,form
314,form,238,form
