start_id,start_vertex_type,end_id,end_vertex_type
2,form,1,form
2,form,29,form
3,form,1,form
3,form,63,form
4,form,1,form
4,form,22,form
4,form,113,form
5,form,41,form
7,form,1,form
8,form,15,form
10,form,100,form
10,form,22,form
12,form,20,form
13,form,19,form
14,form,19,form
15,form,19,form
16,form,19,form
17,form,6,form
19,form,106,form
20,form,22,form
20,form,31,form
21,form,23,form
21,form,31,form
22,form,68,form
22,form,106,form
23,form,68,form
23,form,103,form
23,form,114,form
24,form,68,form
24,form,100,form
24,form,115,form
25,form,68,form
25,form,105,form
26,form,22,form
27,form,91,form
27,form,103,form
30,form,58,form
31,form,22,form
33,form,22,form
33,form,26,form
35,form,58,form
36,form,1,form
37,form,7,form
38,form,78,form
39,form,78,form
40,form,63,form
41,form,62,form
42,form,67,form
43,form,63,form
44,form,22,form
44,form,55,form
52,form,22,form
53,form,25,form
53,form,116,form
57,form,62,form
59,form,1,form
59,form,34,form
60,form,67,form
66,form,67,form
66,form,218,form
66,form,219,form
66,form,220,form
66,form,221,form
69,form,22,form
70,form,78,form
71,form,103,form
80,form,104,form
80,form,108,form
81,form,22,form
82,form,94,form
83,form,24,form
83,form,115,form
84,form,14,form
84,form,81,form
86,form,22,form
87,form,22,form
88,form,22,form
88,form,78,form
89,form,22,form
89,form,103,form
92,form,22,form
93,form,22,form
95,form,22,form
96,form,22,form
97,form,54,form
97,form,90,form
97,form,105,form
99,form,78,form
101,form,97,form
105,form,195,form
105,form,196,form
105,form,197,form
105,form,198,form
105,form,200,form
105,form,202,form
105,form,207,form
105,form,309,form
106,form,98,form
110,form,56,form
111,form,71,form
112,form,70,form
113,form,103,form
117,form,1,form
117,form,29,form
123,form,22,form
123,form,113,form
128,form,22,form
128,form,81,form
128,form,113,form
128,form,118,form
128,form,122,form
129,form,1,form
129,form,242,form
130,form,1,form
131,form,1,form
131,form,242,form
132,form,4,form
132,form,290,form
132,form,297,form
133,form,1,form
137,form,59,form
137,form,133,form
139,form,171,form
139,form,133,form
141,form,22,form
146,form,7,form
147,form,113,form
148,form,236,form
148,form,303,form
149,form,306,form
150,form,98,form
151,form,305,form
152,form,90,form
153,form,90,form
153,form,281,form
154,form,90,form
154,form,280,form
155,form,90,form
156,form,90,form
156,form,157,form
157,form,90,form
158,form,213,form
162,form,22,form
162,form,270,form
163,form,22,form
163,form,270,form
164,form,22,form
164,form,270,form
165,form,22,form
165,form,270,form
166,form,22,form
166,form,270,form
167,form,22,form
167,form,270,form
168,form,23,form
168,form,270,form
169,form,165,form
170,form,26,form
172,form,222,form
172,form,212,form
172,form,224,form
173,form,212,form
176,form,63,form
176,form,64,form
179,form,224,form
180,form,63,form
181,form,222,form
184,form,41,form
184,form,260,form
184,form,263,form
185,form,55,form
185,form,108,form
186,form,200,form
187,form,205,form
188,form,198,form
188,form,206,form
189,form,22,form
189,form,292,form
190,form,282,form
190,form,292,form
191,form,170,form
191,form,81,form
192,form,22,form
192,form,26,form
193,form,22,form
193,form,292,form
194,form,115,form
195,form,281,form
196,form,22,form
197,form,22,form
198,form,22,form
200,form,22,form
202,form,22,form
207,form,22,form
210,form,22,form
212,form,58,form
213,form,3,form
216,form,176,form
217,form,22,form
217,form,101,form
217,form,108,form
227,form,74,form
227,form,239,form
228,form,239,form
228,form,104,form
229,form,74,form
229,form,108,form
230,form,74,form
230,form,108,form
230,form,142,form
232,form,304,form
234,form,73,form
234,form,170,form
234,form,26,form
235,form,239,form
235,form,289,form
236,form,303,form
236,form,239,form
237,form,239,form
238,form,141,form
238,form,142,form
242,form,22,form
243,form,22,form
244,form,22,form
245,form,245,form
245,form,242,form
246,form,242,form
247,form,108,form
247,form,303,form
248,form,277,form
249,form,22,form
251,form,22,form
251,form,141,form
252,form,22,form
253,form,22,form
254,form,22,form
255,form,22,form
256,form,26,form
257,form,22,form
257,form,297,form
258,form,22,form
259,form,22,form
260,form,22,form
261,form,22,form
262,form,22,form
265,form,213,form
266,form,22,form
269,form,97,form
273,form,22,form
273,form,90,form
274,form,27,form
274,form,271,form
275,form,90,form
275,form,271,form
275,form,289,form
276,form,90,form
276,form,271,form
276,form,237,form
276,form,289,form
277,form,90,form
277,form,282,form
277,form,271,form
278,form,90,form
278,form,271,form
279,form,27,form
281,form,289,form
283,form,237,form
283,form,289,form
284,form,22,form
284,form,26,form
284,form,102,form
285,form,22,form
285,form,26,form
285,form,102,form
286,form,22,form
286,form,101,form
287,form,22,form
287,form,102,form
288,form,22,form
288,form,87,form
290,form,132,form
295,form,222,form
296,form,179,form
298,form,26,form
298,form,170,form
298,form,81,form
299,form,170,form
299,form,150,form
299,form,298,form
301,form,22,form
301,form,26,form
302,form,22,form
302,form,26,form
305,form,83,form
